"1_Mot"	"2_Phono"	"3_Phono_IPA"	"4_Lemme"	"5_Cgram"	"6_CgramOrtho"	"7_Genre"	"8_Nombre"	"9_InfoVER"	"10_FreqMot"	"11_FreqOrtho"	"12_FreqLemme"	"13_CDOrtho"	"14_IsLem"	"15_NbLettres"	"16_NbPhons"	"17_OLD20"	"18_PLD20"	"19_CVOrtho"	"20_CVPhono"	"21_VoisOrtho"	"22_VoisPhono"	"23_NbHomog"	"24_NbHomoph"	"25_SyllPhono"	"26_SyllNb"	"27_SyllCV"	"28_PUOrtho"	"29_PUPhon"	"30_MorphoBase"	"31_MorphoStruct"	"32_MorphoDecomp"	"33_Preval"	"34_PrevalNb"	"35_RT_FLP"	"36_zRT_FLP"	"37_Err_FLP"
matin	mat5	matɛ̃	matin	NOM	NOM	m	s	""	246.104	246.111	253.443	54.76271	1	5	4	1.25	1	CVCVC	CVCV	11	22	0	2	ma-t5	2	CV-CV	5	4	matin	"0-1-0"	/matin	100	22	626.5384615	-0.69408808	0
enfant	@f@	ɑ̃fɑ̃	enfant	NOM	NOM	e	s	""	245.766	245.766	628.997	45.51898	1	6	3	1.65	1.25	VCCVCC	VCV	3	10	0	2	@-f@	2	V-CV	6	3	enfant	"0-1-0"	/enfant	100	21	582.84	-0.805184428	0
regardez	R°gaRde	ʁəgaʁde	regarder	VER	VER	""	p	imp:pre:2,ind:pre:2	243.418	243.617	1095.016	52.74342	0	8	7	1.7	1.55	CVCVCCVC	CVVCVCCV	3	6	0	5	R°-gaR-de	3	CV-CVC-CV	0	8	""	""	""	96	33	654.88	-0.325302057	0
venez	v°ne	vəne	venir	VER	VER	""	p	ind:pre:2,imp:pre:2	242.269	242.459	2424.339	50.07808	0	5	4	1.6	1.5	CVCVC	CVVCV	5	9	0	2	v°-ne	2	CV-CV	0	5	""	""	""	100	16	558.2	-0.710862836	0
qu'	k	k	qu'	CON	PRO:rel,PRO:int,CON	""	""	""	240.237	7310.250	240.775	99.48561	1	3	1	1.7	1	CV'	C	5	113	2	5	k	1	C	3	1	""	""	""					
là-bas	laba	laba	là-bas	ADV	ADV,NOM	""	""	""	239.199	239.228	239.801	54.45958	1	6	4	3.75	1	CVV-CVC	CVCV	0	21	1	1	la-ba	2	CV-CV	5	4	là	"0-2-0"	/là/bas					
demandé	d°m@de	dəmɑ̃de	demander	VER	VER	""	p	ind:imp:3,par:pas:,ind:pre:1	238.905	238.905	926.332	56.86620	0	7	6	1.9	1.75	CVCVCCVV	CVVCVCV	1	3	0	5	d°-m@-de	3	CV-CV-CV	0	7	""	""	""	100	24	623.28	-0.551122097	0
minutes	minyt	minyt	minute	NOM	NOM,VER	f	p	""	237.972	238.421	404.247	51.63197	0	7	5	1.75	1.65	CVCVCVC	CVCVC	3	21	1	4	mi-nyt	2	CV-CVC	0	5	""	""	""	100	30	608.52	-0.656745919	0
puis	p8i	pɥi	puis	CON	ADV,CON,VER	""	""	""	237.199	490.949	237.222	75.07195	1	4	3	1	1	CVVC	CYV	17	18	2	4	p8i	1	CYV	4	3	puis	"0-1-0"	/puis	95	21	668.5	-0.284532365	0.04
euh	"2"	ø	euh	ONO	ONO	""	""	""	236.152	236.152	236.544	25.25260	1	3	1	1.45	1	VVC	V	6	37	0	4	"2"	1	V	3	1	""	"0-1-0"	/euh					
suite	s8it	sɥit	suite	NOM	NOM	f	s	""	235.737	235.737	237.642	56.34874	1	5	4	1.35	1.15	CVVCV	CYVC	7	15	0	1	s8it	1	CYVC	5	4	suivre	"0-1-1"	/sui(vre)/t.e	100	22	543.88	-0.947992784	0
arrêter	aRete	aʁete	arrêter	VER	VER	""	p	inf,	234.076	234.212	998.823	56.66105	1	7	5	1.8	1.45	VCCVVCVC	VCVCV	2	9	0	10	a-Re-te	3	V-CV-CV	7	3	arrêt	"0-1-1"	/arrêt.er	96	28	590.75	-0.721007174	0
point	pw5	pwɛ̃	point	NOM	NOM,VER,ADV	m	s	""	232.013	255.234	277.604	59.16105	1	5	3	1.5	1.35	CVVCC	CYV	4	10	2	6	pw5	1	CYV	5	3	point	"0-1-0"	/point	73	19	570.7916667	-0.791387407	0.04
chambre	S@bR	ʃɑ̃bʁ	chambre	NOM	VER,NOM	f	s	""	231.772	232.671	251.304	45.15769	1	7	4	1.75	1.4	CCVCCCV	CVCC	1	7	1	4	S@bR	1	CVCC	7	4	chambre	"0-1-1"	/chambr(e).e	100	11	561	-0.791664119	0
enfin	@f5	ɑ̃fɛ̃	enfin	ADV	ADV	""	""	""	231.680	231.684	231.725	54.17636	1	5	3	1.95	1.45	VCCVC	VCV	1	9	0	0	@-f5	2	V-CV	5	3	fin	"1-1-0"	_en/fin			614.8695652	-0.643767354	0.041666667
sens	s@	sɑ̃	sentir	VER	NOM,VER	""	s	ind:pre:2,ind:pre:1,imp:pre:2	231.025	360.228	539.494	70.79914	0	4	2	1	1	CVCC	CV	16	28	1	8	s@	1	CV	4	1	sens	"0-1-0"	/sens	100	19	593.375	-0.669429821	0
dirait	diRE	diʁɛ	dire	VER	VER	""	s	cnd:pre:3	230.589	230.589	6099.386	57.56430	0	6	4	1.3	1	CVCVVC	CVCV	12	19	0	3	di-RE	2	CV-CV	0	0	""	""	""	100	23	671.6521739	-0.262654028	0.041666667
partie	paRti	paʁti	partie	NOM	NOM,VER	f	s	""	230.408	307.494	249.241	65.15922	1	6	5	1.35	1.1	CVCCVV	CVCCV	6	10	1	13	paR-ti	2	CVC-CV	6	5	part	"0-1-1"	/part.ie	100	20	609.3913043	-0.617354539	0.041666667
super	sypER	sypɛʁ	super	ADJ	ADJ,NOM	e	i	""	230.177	336.177	230.241	54.83313	1	5	5	1.55	1.65	CVCVC	CVCVC	5	6	1	3	sy-pER	2	CV-CVC	5	5	""	"0-1-0"	/§super§	91	23	581.7083333	-0.830351346	0.04
perdu	pERdy	pɛʁdy	perdre	VER	ADJ,VER	m	s	par:pas:	230.025	250.437	545.231	59.31261	0	5	5	1.7	1.55	CVCCV	CVCCV	3	6	1	7	pER-dy	2	CVC-CV	5	5	perdre	"0-1-1"	/perd(re).u	100	32	562.6086957	-0.812683483	0.041666667
venu	v°ny	vəny	venir	VER	ADJ,NOM,VER	m	s	par:pas:	229.820	241.313	2424.339	56.50184	0	4	4	1.45	1.5	CVCV	CVVCV	7	9	2	11	v°-ny	2	CV-CV	4	5	venir	"0-1-1"	/ven(ir).u	100	16	668.36	-0.417470665	0
loin	lw5	lwɛ̃	loin	ADV	ADV	""	""	""	229.756	229.759	229.807	56.67483	1	4	3	1.55	1.3	CVVC	CYV	5	12	0	0	lw5	1	CYV	4	3	loin	"0-1-0"	/loin			553.2083333	-0.892272782	0
aimerais	Em°RE	ɛməʁɛ	aimer	VER	VER	""	p	cnd:pre:2,cnd:pre:1	229.747	229.750	1601.354	54.97551	0	8	5	1.6	1.65	VVCVCVVC	VCVVCV	3	5	0	3	E-m°-RE	3	V-CV-CV	0	0	""	""	""	100	22	648.96	-0.182869888	0
espère	EspER	ɛspɛʁ	espérer	VER	VER	""	""	ind:pre:3,ind:pre:1,imp:pre:2,sub:pre:1,sub:pre:3	229.620	229.627	337.943	57.34385	0	6	5	1.95	1.7	VCCVVCV	VCCVC	2	4	0	2	Es-pER	2	VC-CVC	0	0	""	""	""	100	21	702.375	-0.351841436	0
aide	Ed	ɛd	aide	NOM	NOM,VER	e	s	""	229.380	340.636	231.570	67.86130	1	4	2	1	1	VVCV	VC	12	48	1	5	Ed	1	VC	4	2	aide	"0-1-1"	/aid(er).e	100	22	571.4583333	-0.760795005	0.04
croire	kRwaR	kʁwaʁ	croire	VER	VER	""	p	inf,	228.538	228.741	1612.497	57.13411	1	6	5	1.7	1.5	CCVVCV	CCYVC	2	4	0	0	kRwaR	1	CCYVC	5	5	croire	"0-1-1"	/croi(re).re	94	18	613.3478261	-0.594842821	0.08
terre	tER	tɛʁ	terre	NOM	NOM,VER	f	s	""	227.345	229.158	247.161	44.57746	1	5	3	1.3	1	CVCCV	CVC	8	159	1	7	tER	1	CVC	5	3	terre	"0-1-1"	/terr(e).e	100	12	669.8510638	-0.395903408	0
eau	o	o	eau	NOM	NOM	f	s	""	226.323	226.326	239.519	44.49020	1	3	1	1.3	1	VVV	V	7	37	0	14	o	1	V	3	1	eau	"0-0-1"	.eau			657.06	-0.381029534	0
papa	papa	papa	papa	NOM	NOM	m	s	""	226.028	455.652	698.617	49.23607	1	4	4	1	1	CVCV	CVCV	17	26	0	1	pa-pa	2	CV-CV	4	4	papa	"0-1-0"	/papa	94	18	613	-0.451717693	0
salut	saly	saly	salut	ONO	NOM,ONO	""	""	""	224.956	503.544	224.959	63.19351	1	5	4	1.6	1	CVCVC	CVCV	6	18	1	5	sa-ly	2	CV-CV	5	4	salut	"0-1-0"	/salut	100	22	658.8333333	-0.30529228	0
mari	maRi	maʁi	mari	NOM	NOM	m	i	""	224.339	226.503	309.769	38.26699	1	4	4	1	1	CVCV	CVCV	25	39	0	11	ma-Ri	2	CV-CV	4	4	marier	"0-1-0"	/mari(er)	100	22	621.3913043	-0.601477353	0.041666667
mis	mi	mi	mettre	VER	VER,ADJ	m	s	par:pas:,ind:pas:1,ind:pas:2	224.155	231.851	944.310	58.53644	0	3	2	1	1	CVC	CV	23	66	1	8	mi	1	CV	3	2	mettre	"0-1-1"	/me(ttre).is	100	25	720.7916667	-0.075546062	0.076923077
plutôt	plyto	plyto	plutôt	ADV	ADV	""	""	""	222.658	222.658	222.671	56.54930	1	6	5	3	1.8	CCVCVVC	CCVCV	0	4	0	0	ply-to	2	CCV-CV	5	5	plus	"0-2-0"	/plu(s)/tôt			623.25	-0.531789323	0.04
arrivé	aRive	aʁive	arriver	VER	VER,ADJ,NOM	""	s	ind:imp:3,par:pas:,ind:pre:1,imp:pre:2	222.019	282.146	1211.342	63.15830	0	6	5	1.8	1.35	VCCVCVV	VCVCV	2	8	2	14	a-Ri-ve	3	V-CV-CV	7	5	rive	"1-1-1"	_a(d)/p/riv(e).é	100	21	613.84	-0.679856111	0
vers	vER	vɛʁ	vers	PRE	PRE,NOM	""	""	""	218.794	239.801	218.820	53.23484	1	4	3	1.2	1	CVCC	CVC	8	135	1	9	vER	1	CVC	4	3	vers	"0-1-0"	/vers	100	20	655.72	-0.260771401	0
cause	koz	koz	cause	NOM	NOM,VER	f	s	""	218.462	232.598	224.003	56.80649	1	5	3	1.4	1	CVVCV	CVC	5	47	1	4	koz	1	CVC	5	3	cause	"0-1-0"	/cause	92	13	633.12	-0.536981951	0
propos	pRopo	pʁopo	propos	NOM	NOM	m	i	""	218.440	218.440	218.468	45.40263	1	6	5	1.5	1.6	CCVCVC	CCVCV	7	5	0	0	pRo-po	2	CCV-CV	6	3	poser	"1-1-0"	_pro/pos(er)	100	24	638.56	-0.415844843	0.038461538
voulait	vulE	vulɛ	vouloir	VER	VER	""	s	ind:imp:3	218.016	218.019	5239.237	51.88304	0	7	4	1.5	1.25	CVVCVVC	CVCV	8	15	0	2	vu-lE	2	CV-CV	0	0	""	""	""	94	17	595.92	-0.586313597	0
demander	d°m@de	dəmɑ̃de	demander	VER	VER	""	p	inf,	217.991	218.323	926.332	55.89100	1	8	6	1.75	1.75	CVCVCCVC	CVVCVCV	2	3	0	5	d°-m@-de	3	CV-CV-CV	8	7	mander	"1-1-1"	_dé/mand(er).er	100	24	579.1428571	-0.825214558	0
celui	s°l8i	səlɥi	celui	PRO:dem	PRO:dem	m	s	""	216.750	216.750	556.089	54.49786	1	5	5	1.85	2.15	CVCVV	CVVCYV	2	1	0	0	s°-l8i	2	CV-CYV	5	6	celui	"0-2-0"	/ce/lui			683.3943662	-0.303545434	0.02739726
mourir	muRiR	muʁiʁ	mourir	VER	VER	""	s	inf,	215.915	216.481	832.506	46.42376	1	6	5	1.8	1.55	CVVCVC	CVCVC	1	11	0	0	mu-RiR	2	CV-CVC	6	5	mourir	"0-1-1"	/mour(ir).ir	100	19	609.72	-0.623086726	0
jouer	Zwe	ʒwe	jouer	VER	VER	""	p	inf,	214.873	215.146	527.152	48.07257	1	5	3	1.2	1.2	CVVVC	CYV	11	13	0	10	Zwe	1	CYV	5	3	jeu	"0-0-1"	.er	90	33	551.8333333	-0.925195097	0.04
hier	jER	jɛʁ	hier	ADV	ADV	""	""	""	214.763	214.766	214.785	49.03552	1	4	3	1.5	1	CVVC	YVC	6	29	0	1	jER	1	YVC	4	3	""	"0-1-0"	/hier			652.75	-0.509943431	0
docteur	dOkt9R	dɔktœʁ	docteur	NOM	NOM	m	s	""	212.136	212.155	226.272	29.72750	1	7	6	1.85	2	CVCCVVC	CVCCVC	1	0	0	3	dOk-t9R	2	CVC-CVC	7	5	docte	"0-1-1"	/doct(e).eur	88	17	659.375	-0.471873553	0
boulot	bulo	bulo	boulot	NOM	NOM,ADJ	m	s	""	211.234	220.959	217.035	46.10380	1	6	4	1.7	1.1	CVVCVC	CVCV	3	16	1	5	bu-lo	2	CV-CV	6	4	boule	"0-1-1"	/boul(e).ot	88	18	636	-0.436973524	0
première	pR2mjER	pʁømjɛʁ	premier	ADJ	NOM,ADJ	f	s	""	210.706	253.250	411.294	58.03582	0	8	7	2.85	2.65	CCVCVVVCV	CCVCYVC	0	0	1	3	pR2-mjER	2	CCV-CYVC	0	0	""	""	""	96	29	611.9166667	-0.654395848	0.04
années	ane	ane	année	NOM	NOM	f	p	""	209.759	209.759	360.839	50.74862	0	6	3	1.6	1	VCCVVVC	VCV	4	19	0	1	a-ne	2	V-CV	0	3	""	""	""	100	19	785.75	0.299485218	0.020408163
appeler	ap°le	apəle	appeler	VER	VER	""	p	inf,	209.589	209.769	1136.405	52.62860	1	7	5	2	1.55	VCCVCVC	VCVVCV	1	8	0	7	a-p°-le	3	V-CV-CV	6	3	appel	"0-1-1"	/appel.er	95	20	621.48	-0.553970357	0
parce qu'	paRc° k	paʁcə k	parce qu'	CON	ADV,CON	""	""	""	209.057	209.070	871.297	51.43754	1	9	7	3.65	2.95	CVCCV CV'	CVCcVV C	1	0	1	1	paRc° k	1	CVCcV C	9	4	""	""	""					
confiance	k§fj@s	kɔ̃fjɑ̃s	confiance	NOM	NOM	f	s	""	209.009	209.009	209.073	47.90110	1	9	6	2.4	1.8	CVCCVVCCV	CVVCYVC	1	3	0	1	k§-fj@s	2	CV-CYVC	8	7	(se) fier	"1-1-1"	_con/fi(er).ance	96	25	659.2916667	-0.495440088	0
merde	mERd	mɛʁd	merde	ONO	NOM,VER,ONO	""	""	""	208.981	381.402	209.038	45.15309	1	5	4	1.4	1.2	CVCCV	CVCC	7	26	2	5	mERd	1	CVCC	5	4	merde	"0-1-1"	/merd(e).e	100	20	674.0416667	-0.579384913	0.04
bureau	byRo	byʁo	bureau	NOM	NOM	m	s	""	207.434	221.519	219.184	43.22107	1	6	4	1.8	1.2	CVCVVV	CVCV	3	14	0	1	by-Ro	2	CV-CV	6	4	bure	"0-1-1"	/bur(e).eau	100	24	606.7272727	-0.51557772	0.043478261
vérité	veRite	veʁite	vérité	NOM	NOM	f	s	""	206.579	206.589	208.858	45.63380	1	6	6	1.85	1.9	CVVCVCVV	CVCVCV	2	1	0	3	ve-Ri-te	3	CV-CV-CV	2	6	vrai	"0-1-1"	/vérit(é).é	100	24	602.8076923	-0.714647424	0
école	ekOl	ekɔl	école	NOM	NOM	f	s	""	205.930	205.930	217.946	36.62125	1	5	4	1.55	1.45	VVCVCV	VCVC	5	8	0	1	e-kOl	2	V-CVC	6	3	école	"0-1-1"	/écol(e).e	100	14	584.2	-0.912705789	0
chef	SEf	ʃɛf	chef	NOM	NOM	m	s	""	205.877	205.883	220.117	35.33680	1	4	3	1.8	1.1	CCVC	CVC	3	17	0	2	SEf	1	CVC	4	3	chef	"0-1-0"	/chef	100	30	674.4722222	-0.351596741	0.01369863
avant	av@	avɑ̃	avant	ADV	ADV,PRE,NOM,ADJ	""	""	""	205.788	849.601	205.848	92.10502	1	5	3	1.2	1	VCVCC	VCV	6	24	3	6	a-v@	2	V-CV	5	3	avant	"0-1-0"	/avant	100	33	743.0300429	0.032483941	0.028688525
fin	f5	fɛ̃	fin	NOM	ADJ,NOM,ADV	e	s	""	205.573	225.535	211.867	54.45652	1	3	2	1	1	CVC	CV	24	26	2	11	f5	1	CV	3	2	fin	"0-1-0"	/fin			604.48	-0.706555789	0
étaient	etE	etɛ	être	VER	VER,AUX	""	p	sub:pre:3,ind:imp:3	204.870	263.918	35040.212	57.00245	0	7	3	1.65	1	VVCVVVCC	VCV	4	14	1	9	e-tE	2	V-CV	0	3	""	""	""	100	19	647.7916667	-0.508909643	0
semaine	s°mEn	səmɛn	semaine	NOM	NOM	f	s	""	204.864	204.864	333.437	48.44305	1	7	5	1.95	1.75	CVCVVCV	CVVCVC	0	4	0	1	s°-mEn	2	CV-CVC	7	6	semaine	"0-1-1"	/semain(e).e	100	20	667.25	-0.352750012	0.04
aucun	ok1	okœ̃	aucun	ADJ:ind	ADJ:ind,PRO:ind	m	s	""	203.228	292.316	458.301	63.92988	1	5	3	2.05	1.85	VVCVC	VCV	0	3	1	2	o-k1	2	V-CV	5	3	aucun	"0-1-0"	/aucun			612.36	-0.456965955	0
nouveau	nuvo	nuvo	nouveau	ADJ	NOM,ADJ	m	s	""	201.902	332.661	493.136	67.94091	1	7	4	2.35	1.9	CVVCVVV	CVCV	0	2	1	3	nu-vo	2	CV-CV	7	4	neuf	"0-1-1"	/n(e/o)u(f/v.eau	100	15	651.0294118	-0.490647427	0.014285714
pensez	p@se	pɑ̃se	penser	VER	VER	""	p	imp:pre:2,ind:pre:2	200.712	200.785	2085.206	46.66412	0	6	4	1.65	1	CVCCVC	CVCV	4	17	0	14	p@-se	2	CV-CV	0	4	""	""	""	100	30	602.5	-0.717359446	0
excusez	Ekskyze	ɛkskyze	excuser	VER	VER	""	""	imp:pre:2,ind:pre:2	200.380	200.620	357.763	46.69320	0	7	7	1.75	2	VCCVCVC	VCCCVCV	3	3	0	5	Ek-sky-ze	3	VC-CCV-CV	0	7	""	""	""	95	22	661.125	-0.535925583	0
sois	swa	swa	être	VER	NOM,VER,AUX	""	s	imp:pre:2,sub:pre:2,sub:pre:1	200.354	247.658	35040.212	58.19963	0	4	3	1	1	CVVC	CYV	25	20	2	12	swa	1	CYV	4	3	""	""	""	100	19	820.4545455	0.524420249	0.041666667
journée	ZuRne	ʒuʁne	journée	NOM	NOM	f	s	""	199.481	199.481	207.383	50.54960	1	7	5	1.8	1.7	CVVCCVVV	CVCCV	2	4	0	1	ZuR-ne	2	CVC-CV	6	5	jour	"0-1-1"	/jour[n].ée	95	20	610.64	-0.774642704	0
devez	d°ve	dəve	devoir	VER	VER	""	p	imp:pre:2,ind:pre:2	199.364	199.380	3830.592	48.14758	0	5	4	1.85	1.65	CVCVC	CVVCV	1	5	0	0	d°-ve	2	CV-CV	0	0	""	""	""	95	22	711.1304348	-0.171634724	0
souviens	suvj5	suvjɛ̃	souvenir	VER	VER	""	s	ind:pre:1,ind:pre:2,imp:pre:2	198.889	198.997	324.006	48.51960	0	8	5	1.85	1.9	CVVCVVCC	CVCYV	2	1	0	1	su-vj5	2	CV-CYV	0	0	""	""	""	100	29	731.9130435	-0.251148489	0.041666667
madame	madam	madam	madame	NOM	NOM	f	s	""	198.731	198.744	254.953	31.67483	1	6	5	1.9	1.9	CVCVCV	CVCVC	1	2	0	2	ma-dam	2	CV-CVC	6	4	""	"0-2-0"	/ma/dame	100	27	625.6521739	-0.664135155	0
belle	bEl	bɛl	beau	ADJ	NOM,ADJ	f	s	""	198.139	226.415	451.259	49.13350	0	5	3	1.3	1	CVCCV	CVC	10	43	1	8	bEl	1	CVC	5	3	""	""	""	100	23	705.6857143	-0.036896667	0.020547945
possible	posibl	posibl	possible	ADJ	ADJ	e	s	""	196.823	217.566	206.089	55.29394	1	8	6	2.4	1.95	CVCCVCCV	CVCVCC	1	1	0	1	po-sibl	2	CV-CVCC	8	6	possible	"0-1-1"	/possi(ble).ble	100	30	655.9565217	-0.532388906	0.041666667
vivre	vivR	vivʁ	vivre	VER	NOM,VER	""	s	ind:imp:3,inf,imp:pre:2	195.791	200.222	441.066	48.50735	1	5	4	1.5	1	CVCCV	CVCC	5	13	1	2	vivR	1	CVCC	5	4	vivre	"0-1-1"	/viv(re).re	95	24	603.4	-0.664825913	0
nouvelle	nuvEl	nuvɛl	nouveau	ADJ	NOM,ADJ	f	s	""	195.759	233.434	493.136	56.09767	0	8	5	2.3	1.85	CVVCVCCV	CVCVC	1	3	1	5	nu-vEl	2	CV-CVC	8	4	neuf	"0-1-1"	/n(e/o)u(f/v.elle	100	26	662.7826087	-0.56099262	0
affaires	afER	afɛʁ	affaire	NOM	VER,NOM	f	p	""	195.627	196.054	452.617	46.20790	0	8	4	1.75	1	VCCVVCVC	VCVC	4	18	1	4	a-fER	2	V-CVC	0	4	""	""	""	100	19	601.2173913	-0.584127117	0
jeune	Z9n	ʒœn	jeune	ADJ	NOM,ADJ	e	s	""	195.456	209.873	241.797	47.21678	1	5	3	1.7	1.65	CVVCV	CVC	1	6	1	3	Z9n	1	CVC	5	3	""	"0-1-0"	/jeune	100	24	590.8571429	-0.807072366	0.086956522
gros	gRo	gʁo	gros	ADJ	NOM,ADV,ADJ	m	i	""	194.839	222.851	289.880	51.50337	1	4	3	1.7	1	CCVC	CCV	4	16	2	3	gRo	1	CCV	4	3	gros	"0-1-0"	/gros	100	29	554.6	-0.935567149	0
téléphone	telefOn	telefɔn	téléphone	NOM	NOM,VER	m	s	""	193.158	198.275	204.731	40.96601	1	9	7	2	2.4	CVVCVVCCVCV	CVCVCVC	1	0	1	4	te-le-fOn	3	CV-CV-CVC	11	6	téléphone	"1-0-2"	_télé.phon(e).e	94	18	627.75	-0.484215417	0
mains	m5	mɛ̃	main	NOM	NOM	f	p	""	193.070	193.085	440.769	47.73117	0	5	2	1	1	CVVCC	CV	12	29	0	3	m5	1	CV	0	2	""	""	""	95	20	624.68	-0.56375977	0
font	f§	fɔ̃	faire	VER	VER	""	p	ind:pre:3	191.345	191.405	9061.728	51.59522	0	4	2	1.25	1	CVCC	CVV	10	41	0	6	f§	1	CV	0	2	""	""	""	100	19	712.375	0.009256479	0.04
reste	REst	ʁɛst	reste	NOM	NOM,VER	m	s	""	191.193	470.573	206.734	79.85150	1	5	4	1.2	1.1	CVCCV	CVCC	11	36	1	4	REst	1	CVCC	5	4	rester	"0-1-1"	/rest(er).e	100	25	588.84	-0.721625945	0
exactement	Egzakt°m@	ɛgzaktəmɑ̃	exactement	ADV	ADV	""	""	""	191.063	191.063	191.085	51.14053	1	10	9	2.85	3.75	VCVCCVCVCC	VCCVCCVVCV	0	0	0	0	Eg-zak-t°-m@	4	VC-CVC-CV-CV	7	7	exact	"0-1-1"	/exacte.ment			621.92	-0.578764295	0
équipe	ekip	ekip	équipe	NOM	NOM,VER	f	s	""	189.972	191.832	204.737	35.75015	1	6	4	1.75	1.6	VVCVVCV	VCVC	3	18	1	4	e-kip	2	V-CVC	7	4	équiper	"0-1-1"	/équip(er).e	100	22	600	-0.601993106	0.076923077
arriver	aRive	aʁive	arriver	VER	VER	""	p	inf,	189.519	189.598	1211.342	52.77863	1	7	5	1.7	1.35	VCCVCVC	VCVCV	4	8	0	14	a-Ri-ve	3	V-CV-CV	6	5	rive	"1-1-1"	_a(d)/p/riv(e).er	100	21	573.2173913	-0.843607445	0
parti	paRti	paʁti	partir	VER	ADJ,NOM,VER	m	s	par:pas:	188.028	232.199	1035.642	55.27557	0	5	5	1.3	1.1	CVCCV	CVCCV	8	10	2	13	paR-ti	2	CVC-CV	5	5	part	"0-1-1"	/part(ir).i	100	21	628.28	-0.442131849	0
sécurité	sekyRite	sekyʁite	sécurité	NOM	NOM	f	s	""	187.949	187.962	188.810	40.14544	1	8	8	2.55	2.15	CVVCVCVCVV	CVCVCVCV	1	1	0	1	se-ky-Ri-te	4	CV-CV-CV-CV	9	8	sécurité	"0-1-1"	/sécurit(é).é	100	26	663.5454545	-0.551189254	0
pardon	paRd§	paʁdɔ̃	pardon	ONO	NOM,ONO,ADJ	""	""	""	187.487	229.972	187.500	48.77220	1	6	5	1.65	1.3	CVCCVC	CVCCVV	6	17	2	3	paR-d§	2	CVC-CV	6	5	pardonner	"0-1-0"	/pardon(ner)	96	29	634.375	-0.521912207	0
prêt	pRE	pʁɛ	prêt	ADJ	NOM,ADJ	m	s	""	187.193	220.832	347.956	53.35579	1	4	3	1.75	1	CCVVC	CCV	2	25	1	5	pRE	1	CCV	5	3	prêt	"0-1-0"	/prêt	100	26	580.8333333	-0.852170372	0.04
étais	etE	etɛ	être	AUX	VER,AUX,NOM	""	s	ind:imp:1,ind:imp:2	186.604	894.880	8402.797	89.15493	0	5	3	1.35	1	VVCVVC	VCV	8	14	2	9	e-tE	2	V-CV	0	3	""	""	""	70	17	787.1818182	0.277308056	0.08
beau	bo	bo	beau	ADJ	ADJ,NOM,ADV	m	s	""	185.472	206.949	451.259	48.05113	1	4	2	1.5	1	CVVV	CV	5	29	2	8	bo	1	CV	4	2	beau	"0-1-0"	/beau	100	23	649.8804348	-0.401123902	0.021052632
presque	pREsk	pʁɛsk	presque	ADV	ADV	""	""	""	185.320	185.326	185.345	51.23239	1	7	5	2.15	1.65	CCVCCVV	CCVCC	2	6	0	1	pREsk	1	CCVCC	7	5	prés	"0-2-0"	/près/que			600.04	-0.56226265	0.038461538
manger	m@Ze	mɑ̃ʒe	manger	VER	NOM,VER	""	p	inf,	184.532	189.411	395.060	45.61696	1	6	4	1.3	1.35	CVCCVC	CVCV	9	11	1	7	m@-Ze	2	CV-CV	6	4	manger	"0-1-1"	/mang(er).er	100	33	585.1666667	-0.795960094	0
appelé	ap°le	apəle	appeler	VER	VER,NOM	m	s	par:pas:,ind:imp:3	183.877	189.032	1136.405	46.78659	0	6	5	1.85	1.55	VCCVCVV	VCVVCV	0	8	1	7	a-p°-le	3	V-CV-CV	6	3	appel	"0-1-1"	/appel.é	95	20	638.76	-0.503401831	0
essaie	EsE	ɛsɛ	essayer	VER	VER	""	s	sub:pre:3,ind:pre:1,ind:pre:3,imp:pre:2	183.459	183.579	837.753	47.23974	0	6	3	1.55	1	VCCVVV	VCV	5	13	0	3	E-sE	2	V-CV	0	3	""	""	""	100	24	671.4736842	-0.341600984	0.130434783
important	"5pORt@"	ɛ̃pɔʁtɑ̃	important	ADJ	VER,ADJ,NOM	m	s	""	183.304	186.275	251.911	50.02603	1	9	6	1.75	1.5	VCCVCCVCC	VCVCCV	3	6	2	4	"5-pOR-t@"	3	V-CVC-CV	9	6	porter	"1-1-1"	_i(n)/m/port(er).ant	100	17	617	-0.707664307	0.04
prie	pRi	pʁi	prier	VER	VER,NOM	""	s	ind:pre:1,sub:pre:1,sub:pre:3,imp:pre:2,ind:pre:3	183.184	183.282	228.595	39.84078	0	4	3	1	1	CCVV	CCV	10	21	1	8	pRi	1	CCV	4	3	""	""	""	100	24	693.2608696	-0.257537473	0.08
pensé	p@se	pɑ̃se	penser	VER	VER	m	s	par:pas:,ind:pre:1,ind:imp:3,ind:pre:3,imp:pre:2	183.009	183.009	2085.206	48.73393	0	5	4	1.65	1	CVCCVV	CVCV	4	17	0	14	p@-se	2	CV-CV	0	4	""	""	""	100	30	683.8	-0.357774564	0
mariage	maRjaZ	maʁjaʒ	mariage	NOM	NOM	m	s	""	182.633	182.639	191.750	29.05236	1	7	6	1.9	1.65	CVCVVCV	CVCYVC	1	5	0	1	ma-RjaZ	2	CV-CYVC	6	6	marier	"0-1-1"	/mari.age	100	29	646.7083333	-0.537247519	0
feu	f2	fø	feu	NOM	NOM,ADJ	m	s	""	182.193	198.902	197.614	41.22321	1	3	2	1.15	1	CVV	CV	11	24	1	5	f2	1	CV	3	2	feu	"0-1-0"	/feu			602.7692308	-0.817640925	0
